Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
ASTS,244,Buy,28.139999389648438,9219.674999713898,68,11133.194958209991,2024-10-18,True
ASTS,245,Buy,27.639999389648438,9192.03500032425,69,11099.194958209991,2024-10-21,True
ASTS,246,Buy,27.889999389648438,9164.1450009346,70,11116.444958209991,2024-10-22,True
ASTS,247,Buy,26.260000228881836,9137.885000705719,71,11002.34501695633,2024-10-23,True
ASTS,248,Buy,25.06999969482422,9012.535002231598,76,10917.854979038239,2024-10-24,True
ASTS,249,Hold,25.6200008392334,9012.535002231598,76,10959.655066013336,2024-10-25,True
ASTS,250,Hold,26.729999542236328,9012.535002231598,76,11044.014967441559,2024-10-28,True
ASTS,251,Buy,26.979999542236328,8985.555002689362,77,11063.014967441559,2024-10-29,True
ASTS,252,Buy,25.1299991607666,8960.425003528595,78,10920.56493806839,2024-10-30,True
ASTS,253,Sell,23.809999465942383,8960.425003528595,78,10817.6049618721,2024-10-31,True
ASTS,254,Sell,23.850000381469727,8960.425003528595,78,10820.725033283234,2024-11-01,True
ASTS,255,Sell,23.850000381469727,8984.275003910065,77,10820.725033283234,2024-11-01,True
GSAT,0,Sell,1.3700000047683716,10000,0,10000.0,2023-10-30,
GSAT,1,Sell,1.409999966621399,10000,0,10000.0,2023-10-31,
GSAT,2,Sell,1.399999976158142,10000,0,10000.0,2023-11-01,
GSAT,3,Buy,1.3799999952316284,9998.620000004768,1,10000.0,2023-11-02,
GSAT,4,Sell,1.4199999570846558,9998.620000004768,1,10000.039999961853,2023-11-03,
GSAT,5,Sell,1.350000023841858,9998.620000004768,1,9999.97000002861,2023-11-06,
GSAT,6,Sell,1.3600000143051147,9999.980000019073,0,9999.980000019073,2023-11-07,True
GSAT,7,Sell,1.3600000143051147,9999.980000019073,0,9999.980000019073,2023-11-08,True
GSAT,8,Sell,1.3200000524520874,9999.980000019073,0,9999.980000019073,2023-11-09,True
GSAT,9,Sell,1.3700000047683716,9999.980000019073,0,9999.980000019073,2023-11-10,True
GSAT,10,Sell,1.2899999618530273,9999.980000019073,0,9999.980000019073,2023-11-13,True
GSAT,11,Hold,1.3899999856948853,9999.980000019073,0,9999.980000019073,2023-11-14,True
GSAT,12,Sell,1.3899999856948853,9999.980000019073,0,9999.980000019073,2023-11-15,True
GSAT,13,Buy,1.409999966621399,9998.570000052452,1,9999.980000019073,2023-11-16,True
GSAT,14,Buy,1.440000057220459,9997.129999995232,2,10000.010000109673,2023-11-17,True
GSAT,15,Buy,1.4299999475479126,9995.700000047684,3,9999.989999890327,2023-11-20,True
GSAT,16,Buy,1.4600000381469727,9994.240000009537,4,10000.080000162125,2023-11-21,True
GSAT,17,Buy,1.4800000190734863,9992.759999990463,5,10000.16000008583,2023-11-22,True
GSAT,18,Buy,1.5299999713897705,9985.110000133514,10,10000.409999847412,2023-11-24,True
GSAT,19,Buy,1.5800000429153442,9977.209999918938,15,10000.910000562668,2023-11-27,True
GSAT,20,Buy,1.559999942779541,9969.41000020504,20,10000.60999906063,2023-11-28,True
GSAT,21,Buy,1.590000033378601,9961.460000038147,25,10001.210000872612,2023-11-29,True
